t,Ex,Ey,Ez,n,rx,ry,rz,Omega1,Omega2,Omega3,Omega4
45976.9460101758,-0.631606782831348,-0.186856617497315,0.365498914086593,0.657699034650666,1669.67432737503,443.507203852952,6599.40394563633,8273.17649507107,8879.74136248204,7210.65436062314,7526.6937730496
45998.1460775014,-0.629334102372252,-0.194372350394211,0.357637883947708,0.662006888905959,1561.64602451963,326.897070827829,6633.60606620437,8272.52455135611,8881.35448368671,7209.3478346808,7526.82734415337
46019.346144827,-0.626972789954019,-0.201858157095505,0.349728554284147,0.666219440867347,1452.74154899507,210.103525472783,6664.07575823201,8271.70751850453,8882.86052416552,7208.15779578704,7527.13186277842
46040.5462121526,-0.624523286927808,-0.209312934626527,0.341772163688211,0.670336145236699,1343.02242170297,93.1921558736448,6690.79781122064,8270.72604175544,8884.25881957612,7207.08484482012,7527.60683333301
46061.7462794782,-0.621986049163372,-0.216735588601472,0.33376995572042,0.674356475417936,1232.55056293495,-23.7714509322728,6713.75916757986,8269.58089560307,8885.54874168318,7206.12951386697,7528.25165789422
46082.9463468038,-0.61936154682432,-0.224125033450557,0.325723178550174,0.678279923520772,1121.38825530316,-140.721747289454,6732.948925553,8268.27298241451,8886.72970447317,7205.29226166227,7529.06563523271
46104.1464141294,-0.616650264118727,-0.231480192683222,0.317633084638656,0.682106000340545,1009.59810662211,-257.593263059615,6748.35834083271,8266.8033401259,8887.80117211367,7204.57346571154,7530.04795192723
46125.346481455,-0.613852698257646,-0.238800000860055,0.309500931967758,0.685834234740535,897.243012764887,-374.320643538009,6759.98082687834,8265.17400418042,8888.76286955454,7203.97307986165,7531.19691876167
46146.5465487806,-0.610969361648517,-0.246083398652688,0.301327979018218,0.689464175352964,784.386120516299,-490.838687129939,6767.81195394709,8263.38677050468,8889.61451439688,7203.49109659107,7532.51105710345
46167.7466161062,-0.608000779498708,-0.253329337472468,0.293115488491206,0.692995389098142,671.090790444812,-607.082382767457,6771.84944685166,8261.44300643631,8890.35576688739,7203.12762735093,7533.98926551551
46188.9466834318,-0.604947489947281,-0.260536778958152,0.284864726298752,0.696427461353537,557.420559815119,-722.986947046598,6772.0931814571,8259.34420698913,8890.98635699273,7202.88268842784,7535.63033011164
