t,Omega1,Omega2,Omega3,Omega4
10.2000323925065,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
10.4000330276537,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
10.6000336628009,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
10.8000342979481,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
11.0000349330953,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
11.2000355682424,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
11.4000362033896,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
11.6000368385368,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
11.800037473684,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
12.0000381088312,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
12.2000387439784,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
12.4000393791256,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
12.6000400142727,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
12.8000406494199,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
13.0000412845671,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
13.2000419197143,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
13.4000425548615,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
13.6000431900087,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
